Company name,Industry group,Country,Full time employees,Risk rating score,Risk rating assessment,Industry group position,Industry group positions total,Universe position,Universe positions total,Company description
Addnode Group AB,Software & Services,Sweden,"2,685",26.7,Medium Risk,928,1106,8865,15785,"Addnode Group AB is a supplier of software and services for design, construction, and product data information clients in Sweden. Its operations are divided into three business divisions: The Design Management business, which accounts for the maximum share of revenue; The Product Lifecycle Management (PLM) and The Process Management business. The company has its primary operations in Sweden."
"Addsino Co., Ltd.",Technology Hardware,China,"3,167",23.7,Medium Risk,511,652,6814,15785,"Addsino Co Ltd is a China-based company engages in the development, manufacture, and distribution of command and control communication products. Its main products include military communication products, experimental radio frequency simulation systems, experimental and field active target simulation systems, radar simulation systems, tactical training simulation systems and electromagnetic protection products, among others."
Addtech AB,Traders & Distributors,Sweden,"4,155",21.2,Medium Risk,59,204,5165,15785,"Addtech AB is a group of businesses offering high-tech products and solutions to customers in the manufacturing and infrastructure sectors. The company's segment includes Automation; Electrification; Energy; Industrial Solutions and Process Technology. It generates maximum revenue from the Energy segment. Energy produces and sells products for electricity transmission, electrical installation, and safety products in transport."
Addus HomeCare Corp.,Healthcare,United States of America,"6,284",18.5,Low Risk,98,623,3470,15785,"Addus HomeCare Corp is engaged in the provision of in-home personal care services. It operates through the following segments: Personal care segment, which is a key revenue driver, provides non-medical assistance with activities of daily living, primarily to persons who are at risk of hospitalization or institutionalization, such as the elderly, chronically ill and disabled. The Hospice segment provides physical, emotional and spiritual care for people who are terminally ill and their families. Its Home health segment provides services that are primarily medical in nature to those individuals who may require assistance during an illness or after surgery."
Adecco Group AG,Commercial Services,Switzerland,"37,664",9.1,Negligible Risk,25,458,183,15785,"Adecco Group AG is a provider of human capital solutions including Flexible placement, Permanent placement, Career Transition, Outsourcing, Consulting Services in engineering, Digital and IT, Talent services, Training, Up/ Re-skilling and Other services. It is organised into three business units Adecco, Akkodis and LHH. The company provides services to businesses and organisations located throughout Europe, North America, Asia Pacific, South America, and North Africa."
Adecoagro SA,Food Products,Luxembourg,"8,896",28.8,Medium Risk,164,628,10198,15785,"Adecoagro SA is a Luxembourg-based agricultural company. It is involved in a wide range of businesses, including farming crops and other agricultural products, dairy operations, sugar, ethanol, energy production, and land transformation. The company operates through three segments namely Farming, Sugar, Ethanol and Energy, and Land Transformation. The Farming segment consists of planting, harvesting, and sale of grains, oilseeds and fibers, rice, and production and sale of dairy products; the Sugar, Ethanol, and Energy segment consists of cultivating sugar cane which is processed in owned sugar mills, transformed into ethanol; and the Land Transformation segment comprises identification and acquisition of underdeveloped and undermanaged farmland."
"Adeia, Inc.",Semiconductors,United States of America,130,30.3,High Risk,219,344,11133,15785,"Adeia Inc is a consumer and entertainment product/solutions licensing company. Its only operating segment being Intellectual Property Licensing (IP). In the IP segment, it primarily license innovations to leading companies in the broader entertainment industry, and those developing new technologies that will help drive this industry forward. It includes Pay-TV, Consumer Electronics, Connected Car, and Media Platform."
Adeka Corp.,Chemicals,Japan,"5,494",26.6,Medium Risk,158,569,8779,15785,"Adeka Corp is a Japanese firm engaged in the chemical and foods business. The company mainly produces circuit materials, lubricant additives, photo curing resins, flame retardants, civil engineering and construction materials, polyolefin additives, plasticizers, margarine, fillings, and shortening products. Its products have a broad application base across various industries."
Adelaide Airport Ltd.,Transportation Infrastructure,Australia,N/A,9.7,Negligible Risk,22,187,259,15785,Adelaide Airport is an international airport.
"ADENTRA, Inc.",Traders & Distributors,Canada,"3,080",28.6,Medium Risk,172,204,10071,15785,"Adentra Inc is a distributor of architectural products to fabricators, home centers and professional dealers servicing the new residential, repair and remodel, and commercial construction end markets. The company operates a network in North America of 86 facilities in the United States and Canada."
adesso SE,Software & Services,Germany,"8,856",21.5,Medium Risk,452,1106,5322,15785,"Adesso SE is a German IT service provider company. The company offers consulting and software development services for optimising core business processes. It also offers ready-to-use software products for standard applications. The company generates most of its sales revenue through consulting and software development in Germany. It has two segments, namely, IT Services and IT Solutions. The IT Services segment offers customised, project-oriented services in the areas of consulting and software development. The IT Solutions segment markets its own solutions as homegrown products or standard software products. The IT service segment generates majority of revenue."
